,index,Rating,Archive Warnings,Category,Fandom,Characters,Relationships,Additional Tags,Language,Date Published,Date Updated,Word Count,Chapter Count,Comment Count,Kudos Count,Bookmarks Count,Hits Count
83,13,Explicit,No Archive Warnings Apply,M/M,Candela Obscura,"['Oscar Grimm', 'Rajan Savarimuthu']",Oscar Grimm/Rajan Savarimuthu,"['POV Oscar Grimm', 'Not Beta Read', 'no beta we die like oscar grimm', 'Post-Episode: s03e02 The Guardian of Groundswell', 'Top Rajan Savarimuthu', 'Bottom Oscar Grimm', 'Master/Pet', 'Dom/sub', 'Bisexual Oscar Grimm', 'Bisexual Rajan Savarimuthu', 'Bugs & Insects', 'Bondage', 'BDSM', 'Unhealthy Coping Mechanisms', 'Unhealthy Relationships', 'implied aftercare', 'Praise Kink', 'Hate Sex', 'Guilt', 'References to Canon', 'Punishment', 'Orgasm Delay/Denial', 'Collars', 'Anal Sex', 'Begging', 'Rough Sex', 'Rough Kissing', 'Hand Jobs', 'Circle of Tide and Bone (Candela Obscura)']",English,Unknown,2024-02-03 00:00:00,7625,1/1,4,28,1,408
84,14,Mature,No Archive Warnings Apply,No category,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Amadeus Porthos (OMC)']",No relationships tagged,"['Sean Finnerty has PTSD', 'Whump', 'Febuwhump 2024', 'Flashbacks', 'Solitary Confinement']",English,Unknown,2024-02-03 00:00:00,609,1/1,0,14,0,109
85,15,Not Rated,No Archive Warnings Apply,No category,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Rajan Savarimuthu', 'Cosmo Grimm (Candela Obscura)', 'Cordelia Glask']",Elsie Roberts/Rajan Savarimuthu,"[""raj just casually waiting outside Elsie's door at night???"", 'there had to a reason behind that', 'other then just their wild dynamic', 'Angst with a Bittersweet Ending', 'Hurt/Comfort', 'Kind Of', 'Past Relationship(s)', 'Mutual Pining']",English,Unknown,2024-02-03 00:00:00,2364,1/1,4,43,4,247
86,16,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['Nathaniel Trapp', 'Marion Collodi']","['Marion Collodi & Nathaniel Trapp', 'Marion Collodi/Nathaniel Trapp']","['POV Nathaniel Trapp', 'Developing Relationship', 'Alternate Universe - Amnesia: The Bunker Fusion', 'Alternate Universe - World War I', 'Military Ranks', 'Survival Horror', 'Dead Dove: Do Not Eat', 'Canon-Typical Violence', 'Murder', 'Non-Sexual Intimacy', 'Minor Marion Collodi/Sean Finnerty', 'Monsters', 'Circle of Needle and Thread (Candela Obscura)']",English,2024-01-30 00:00:00,2024-01-30 00:00:00,4408,1/1,4,10,0,147
87,17,Teen And Up Audiences,Major Character Death,Gen,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Mina (Candela Obscura)', 'Godot (Candela Obscura)', 'Oscar Grimm', 'Rajan Savarimuthu (Mentioned)', 'Cordelia Glask (Mentioned)']","['Elsie Roberts & Mina', 'Elsie Roberts/Rajan Savarimuthu (Implied)']","['post 3x03', ""kind of sad but there's some bittersweet happiness"", ""Elsie's borrowed time"", 'Elsie raises Mina', 'Inspired by Elsie saying the beast would be a playmate for Mina']",English,2024-01-28 00:00:00,2024-01-28 00:00:00,2611,1/1,7,32,4,188
88,18,Not Rated,Graphic Depictions Of Violence,F/M,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Rajan Savarimuthu']",Elsie Roberts/Rajan Savarimuthu,"['Body Horror', 'Bugs & Insects', 'Canon-Typical Violence', 'well more like canon typical violence aftermath', 'gore?', 'Gore', 'the fucked up stuff is set dressing', 'this is me just musing on the nature of Elsie and the Beast', 'Sexual tension! In the murder alley', 'at least i tried lol', 'Rajan is scared and horny', 'Elsie is horny and scared', 'There is a Difference', 'fear about the loss of humanity', 'monster divorce', 'Written Pre-Finale', 'no beta we die like oscar']",English,Unknown,2024-01-24 00:00:00,4913,1/1,5,42,3,281
89,19,Explicit,Graphic Depictions Of Violence,M/M,Candela Obscura,"['Nathaniel Trapp', 'Sean Finnerty (Candela Obscura)']",Sean Finnerty/Nathaniel Trapp,"['POV Nathaniel Trapp', 'Bad Ending', 'Alternate Universe - Amnesia: The Bunker Fusion', 'Monsters', 'Transformation', 'Body Horror', 'Altered Mental States', 'Dead Dove: Do Not Eat', 'Not Beta Read', 'Angst and Porn', 'Submission', 'Animal Instincts', 'Blood and Violence', 'Sub Sean Finnerty (Candela Obscura)', 'Anal Sex', 'Oral Sex', 'Consensual But Not Safe Or Sane', 'Rough Sex', 'Feral Behavior', 'Praise Kink', 'even as a monster sean has a praise kink', 'bunker au trapperty monster sex', ""bc who doesn't want that"", 'Circle of Needle and Thread (Candela Obscura)']",English,Unknown,2024-01-24 00:00:00,3360,1/1,2,21,0,341
90,20,Explicit,No Archive Warnings Apply,M/M,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Nathaniel Trapp']","['Marion Collodi/Sean Finnerty/Nathaniel Trapp', 'Marion Collodi/Nathaniel Trapp', 'Marion Collodi/Sean Finnerty']","['POV Sean Finnerty', 'Infidelity', 'Cheating', 'Voyeurism', 'Married Marion Collodi/Sean Finnerty', 'Sub Sean Finnerty (Candela Obscura)', 'Alternate Universe - Canon Divergence', 'Cuckolding', 'Unhappy Ending', 'Angst and Porn', 'Masturbation', 'Shame', 'Consensual But Not Safe Or Sane', 'Sloppy Seconds', 'Dead Dove: Do Not Eat', 'Dark Nathaniel Trapp', 'Circle of Needle and Thread (Candela Obscura)']",English,Unknown,2024-01-23 00:00:00,2007,1/1,8,15,0,287
91,21,Mature,Graphic Depictions Of Violence,Multi,Candela Obscura,"['Jinnah ""Jean"" Basar', 'Marion Collodi', 'The Mother (Candela Obscura)', 'Sean Finnerty (Candela Obscura)']","Jinnah ""Jean"" Basar/Marion Collodi/Sean Finnerty","['Alternate Universe', 'Bad Ending', 'Exorcisms', 'Guilt', 'Shame', 'Emotional Manipulation', 'Suicidal Thoughts', 'Mind the Tags', ""Additional Warnings In Author's Note"", 'Not Beta Read']",English,Unknown,2024-01-21 00:00:00,1449,1/1,2,19,0,128
92,22,Not Rated,Creator Chose Not To Use Archive Warnings,No category,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Rajan Savarimuthu']",Elsie Roberts/Rajan Savarimuthu,"['Circle of Tide and Bone (Candela Obscura)', 'Angst', 'Angst with a Bittersweet Ending', ""look Elsie's having a rough time"", 'and Raj is there being Raj', 'aka deeply in love with her', 'Body Horror']",English,Unknown,2024-01-21 00:00:00,2719,1/1,2,35,3,207
93,23,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['Marion Collodi', 'Nathaniel Trapp']","['Marion Collodi & Nathaniel Trapp', 'No Romantic Relationship(s)']","['POV Nathaniel Trapp', 'Pre-Slash', 'Alternate Universe - Amnesia: The Bunker Fusion', 'Alternate Universe - World War I', 'Military Ranks', 'Survival Horror', 'Not Beta Read', 'Dead Dove: Do Not Eat', ""this fic itself isn't too bad but this au Goes Places"", 'especially if you know the plot of atb there are Implications', 'this is a marion/sean/nathaniel au with a focus on nathaniel/marion', 'but this fic basically has none of that', 'Monsters', 'Circle of Needle and Thread (Candela Obscura)']",English,2024-01-21 00:00:00,2024-01-21 00:00:00,2966,1/1,6,14,0,168
94,1,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['Malcolm Trills', 'Leo Amicus', 'Grimoria (Candela Obscura)', 'Edgar Lycoris']",Leo Amicus & Malcolm Trills,"['Team as Family', 'Team Dynamics', 'Affectionate Insults', 'Veterans', 'Pre-Canon', 'Implied/Referenced Alcohol Abuse/Alcoholism', 'Slice of Life', 'Dialogue Heavy', 'Why Did I Write This?']",English,2024-03-07 00:00:00,2024-03-07 00:00:00,2506,1/1,8,61,4,371
95,2,General Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['Grimoria', 'Malcolm Trills', 'Decklan Murphy (Mentioned)', 'Leo Amicus (Mentioned)', 'Edgar Lycoris (Mentioned)']",Grimoria & Malcolm Trills,"['Pre-Canon', 'someone give this girl a hug', 'The plot of this circle I described as three men and a baby', 'Big Brother Malcolm Trills', 'God I love them already', 'this cant be the first crimson mirror fic on here', 'Fluff and Angst']",English,2024-03-02 00:00:00,2024-03-02 00:00:00,1067,1/1,3,36,1,290
96,3,Explicit,"['Graphic Depictions Of Violence, Major Character Death', 'Graphic Depictions Of Violence', 'Major Character Death']",F/M,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Nathaniel Trapp', 'Jinnah ""Jean"" Basar', 'Beatrix Monroe | Auntie Bee', 'Jimmy Finnerty (Candela Obscura)', 'Original Characters', 'Original Female Character(s)', 'Original']","['Sean Finnerty (Candela Obscura) & Original Character(s)', 'Sean Finnerty (Candela Obscura)/Original Female Character(s)', 'Sean Finnerty (Candela Obscura)/Original Character(s)', 'Marion Collodi & Sean Finnerty', 'Marion Collodi & Sean Finnerty & Nathaniel Trapp', 'Jinnah ""Jean"" Basar & Sean Finnerty', 'Sean Finnerty & Beatrix Monroe | Auntie Bee', 'Sean Finnerty & Nathaniel Trapp', 'Jimmy Finnerty & Sean Finnerty (Candela Obscura)']","['Angst', 'Hurt', 'Hurt No Comfort', 'Hurt/Comfort', 'Emotional Hurt/Comfort', 'mentions of war and the horrible things connected to it', 'Horror', 'Body Horror', 'Eldritch', 'Trauma', 'Death', 'Probably no happy end', 'Dead Dove: Do Not Eat', 'Self-Harm', 'Character Death']",English,Unknown,2024-02-27 00:00:00,8013,None,3,10,3,160
97,4,Explicit,"['Graphic Depictions Of Violence, Major Character Death', 'Graphic Depictions Of Violence', 'Major Character Death']",F/M,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Nathaniel Trapp', 'Jinnah ""Jean"" Basar', 'Beatrix Monroe | Auntie Bee', 'Jimmy Finnerty (Candela Obscura)', 'Original Characters', 'Original Female Character(s)', 'Original']","['Sean Finnerty (Candela Obscura) & Original Character(s)', 'Sean Finnerty (Candela Obscura)/Original Female Character(s)', 'Sean Finnerty (Candela Obscura)/Original Character(s)', 'Marion Collodi & Sean Finnerty', 'Marion Collodi & Sean Finnerty & Nathaniel Trapp', 'Jinnah ""Jean"" Basar & Sean Finnerty', 'Sean Finnerty & Beatrix Monroe | Auntie Bee', 'Sean Finnerty & Nathaniel Trapp', 'Jimmy Finnerty & Sean Finnerty (Candela Obscura)']","['Angst', 'Hurt', 'Hurt No Comfort', 'Hurt/Comfort', 'Emotional Hurt/Comfort', 'mentions of war and the horrible things connected to it', 'Horror', 'Body Horror', 'Eldritch', 'Trauma', 'Death', 'Probably no happy end', 'Dead Dove: Do Not Eat', 'Self-Harm', 'Character Death']",English,Unknown,2024-02-27 00:00:00,8013,None,3,10,3,160
98,5,Teen And Up Audiences,No Archive Warnings Apply,F/M,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Oscar Grimm', 'Cosmo Grimm (Candela Obscura)', 'Cordelia Glask', ""Godot | Cosmo Grimm's Dog (Candela Obscura)"", 'Minor Characters', 'Magpie - Character', 'Rajan Savarimuthu']","['Rajan Savarimuthu/Original character', 'Former Rajan/Elsie']","['Murder Mystery', 'Arson', 'Disability', 'Canon Disabled Character', 'Bugs & Insects', 'This is a Rajan fic the bugs are a big part', 'Body Horror', 'Drug Use', 'Implied/Referenced Drug Use', 'Canon-Typical Violence', 'Masturbation', 'Gambling', 'Blood and Gore', 'Minor Character Death', 'Implied/Referenced Character Death', 'Drinking', 'Addiction', 'Smut', 'Semi-Public Sex', 'Complete']",English,2024-02-25 00:00:00,2024-02-25 00:00:00,46890,28/28,28,7,2,316
99,6,Teen And Up Audiences,No Archive Warnings Apply,F/M,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Oscar Grimm', 'Cosmo Grimm (Candela Obscura)', 'Cordelia Glask', ""Godot | Cosmo Grimm's Dog (Candela Obscura)"", 'Minor Characters', 'Magpie - Character', 'Rajan Savarimuthu']","['Rajan Savarimuthu/Original character', 'Former Rajan/Elsie']","['Murder Mystery', 'Arson', 'Disability', 'Canon Disabled Character', 'Bugs & Insects', 'This is a Rajan fic the bugs are a big part', 'Body Horror', 'Drug Use', 'Implied/Referenced Drug Use', 'Canon-Typical Violence', 'Masturbation', 'Gambling', 'Blood and Gore', 'Minor Character Death', 'Implied/Referenced Character Death', 'Drinking', 'Addiction', 'Smut', 'Semi-Public Sex', 'Complete']",English,2024-02-25 00:00:00,2024-02-25 00:00:00,46890,28/28,28,7,2,317
100,7,Mature,Major Character Death,F/M,Candela Obscura,"['Rajan Savarimuthu', 'Elsie Roberts (Candela Obscura)', 'Oscar Grimm', 'Mina (Candela Obscura)', 'Cosmo Grimm (Candela Obscura)', 'Iomene (Candela Obscura)']",Elsie Roberts/Rajan Savarimuthu,"['Elsie’s Epilogue', 'Fix-It of Sorts', 'No beta we die like the Circle', 'Romance', 'Hurt/Comfort', 'Cullet', 'Death', 'Visual representations of death', 'The Beast is sad', 'Posthumous Fix-it', 'My First Fanfic', 'Please be nice', 'Playlist', 'Rajan/Elsie', 'Iomene is a good person', 'Elsie did her best', 'Blood and Injury', 'Implied Sexual Content']",English,Unknown,2024-02-13 00:00:00,4825,1/1,13,37,5,240
101,8,Not Rated,No Archive Warnings Apply,F/M,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Rajan Savarimuthu']",Elsie Roberts/Rajan Savarimuthu,"['Circle of Tide and Bone (Candela Obscura)', 'canon compliant until the last chapter', 'AU Raj lives']",English,Unknown,2024-02-12 00:00:00,1100,None,5,18,1,212
102,9,Not Rated,No Archive Warnings Apply,F/M,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Rajan Savarimuthu']",Elsie Roberts/Rajan Savarimuthu,"['Circle of Tide and Bone (Candela Obscura)', 'canon compliant until the last chapter', 'AU Raj lives']",English,Unknown,2024-02-12 00:00:00,1100,None,5,18,1,212
103,10,Explicit,Creator Chose Not To Use Archive Warnings,F/M,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Rajan Savarimuthu', 'Mina (Candela Obscura)', 'Cosmo Grimm (Candela Obscura)', '(mentioned)']",Elsie Roberts/Rajan Savarimuthu,"['Love', 'Vaginal Sex', 'After', 'Tenderness', 'Care', 'Affection', 'Sad and Happy', 'Angst', 'Fluff and Angst', 'Fluff and Smut', 'Bittersweet', 'Brief Language']",English,Unknown,2024-02-09 00:00:00,4014,1/1,2,17,1,183
104,11,Teen And Up Audiences,No Archive Warnings Apply,F/M,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Rajan Savarimuthu']",Elsie Roberts/Rajan Savarimuthu,"['the rest of the gang is only mentioned', 'Oneshot', 'Snippets', 'Angst', 'Hurt/Comfort', 'Heavy on the hurt and exactly five seconds of comfort', 'Slightly Stream-of-Consciousness?', 'Grayslate Sanatorium', 'Missing Scene', 'Character Study', 'Circle of Tide and Bone (Candela Obscura)']",English,2024-02-05 00:00:00,2024-02-05 00:00:00,1668,1/1,5,43,8,318
105,12,Mature,No Archive Warnings Apply,F/M,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Rajan Savarimuthu']",Elsie Roberts/Rajan Savarimuthu,"['Circle of Tide and Bone (Candela Obscura)', 'Non-Graphic Smut', 'Noshir the romantic that you are', 'Implied Sexual Content']",English,Unknown,2024-02-04 00:00:00,580,1/1,5,32,3,214
106,13,Explicit,No Archive Warnings Apply,M/M,Candela Obscura,"['Oscar Grimm', 'Rajan Savarimuthu']",Oscar Grimm/Rajan Savarimuthu,"['POV Oscar Grimm', 'Not Beta Read', 'no beta we die like oscar grimm', 'Post-Episode: s03e02 The Guardian of Groundswell', 'Top Rajan Savarimuthu', 'Bottom Oscar Grimm', 'Master/Pet', 'Dom/sub', 'Bisexual Oscar Grimm', 'Bisexual Rajan Savarimuthu', 'Bugs & Insects', 'Bondage', 'BDSM', 'Unhealthy Coping Mechanisms', 'Unhealthy Relationships', 'implied aftercare', 'Praise Kink', 'Hate Sex', 'Guilt', 'References to Canon', 'Punishment', 'Orgasm Delay/Denial', 'Collars', 'Anal Sex', 'Begging', 'Rough Sex', 'Rough Kissing', 'Hand Jobs', 'Circle of Tide and Bone (Candela Obscura)']",English,Unknown,2024-02-03 00:00:00,7625,1/1,4,28,1,408
107,14,Mature,No Archive Warnings Apply,No category,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Amadeus Porthos (OMC)']",No relationships tagged,"['Sean Finnerty has PTSD', 'Whump', 'Febuwhump 2024', 'Flashbacks', 'Solitary Confinement']",English,Unknown,2024-02-03 00:00:00,609,1/1,0,14,0,109
108,15,Not Rated,No Archive Warnings Apply,No category,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Rajan Savarimuthu', 'Cosmo Grimm (Candela Obscura)', 'Cordelia Glask']",Elsie Roberts/Rajan Savarimuthu,"[""raj just casually waiting outside Elsie's door at night???"", 'there had to a reason behind that', 'other then just their wild dynamic', 'Angst with a Bittersweet Ending', 'Hurt/Comfort', 'Kind Of', 'Past Relationship(s)', 'Mutual Pining']",English,Unknown,2024-02-03 00:00:00,2364,1/1,4,43,4,247
109,16,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['Nathaniel Trapp', 'Marion Collodi']","['Marion Collodi & Nathaniel Trapp', 'Marion Collodi/Nathaniel Trapp']","['POV Nathaniel Trapp', 'Developing Relationship', 'Alternate Universe - Amnesia: The Bunker Fusion', 'Alternate Universe - World War I', 'Military Ranks', 'Survival Horror', 'Dead Dove: Do Not Eat', 'Canon-Typical Violence', 'Murder', 'Non-Sexual Intimacy', 'Minor Marion Collodi/Sean Finnerty', 'Monsters', 'Circle of Needle and Thread (Candela Obscura)']",English,2024-01-30 00:00:00,2024-01-30 00:00:00,4408,1/1,4,10,0,147
110,17,Teen And Up Audiences,Major Character Death,Gen,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Mina (Candela Obscura)', 'Godot (Candela Obscura)', 'Oscar Grimm', 'Rajan Savarimuthu (Mentioned)', 'Cordelia Glask (Mentioned)']","['Elsie Roberts & Mina', 'Elsie Roberts/Rajan Savarimuthu (Implied)']","['post 3x03', ""kind of sad but there's some bittersweet happiness"", ""Elsie's borrowed time"", 'Elsie raises Mina', 'Inspired by Elsie saying the beast would be a playmate for Mina']",English,2024-01-28 00:00:00,2024-01-28 00:00:00,2611,1/1,7,32,4,188
111,18,Not Rated,Graphic Depictions Of Violence,F/M,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Rajan Savarimuthu']",Elsie Roberts/Rajan Savarimuthu,"['Body Horror', 'Bugs & Insects', 'Canon-Typical Violence', 'well more like canon typical violence aftermath', 'gore?', 'Gore', 'the fucked up stuff is set dressing', 'this is me just musing on the nature of Elsie and the Beast', 'Sexual tension! In the murder alley', 'at least i tried lol', 'Rajan is scared and horny', 'Elsie is horny and scared', 'There is a Difference', 'fear about the loss of humanity', 'monster divorce', 'Written Pre-Finale', 'no beta we die like oscar']",English,Unknown,2024-01-24 00:00:00,4913,1/1,5,42,3,281
112,19,Explicit,Graphic Depictions Of Violence,M/M,Candela Obscura,"['Nathaniel Trapp', 'Sean Finnerty (Candela Obscura)']",Sean Finnerty/Nathaniel Trapp,"['POV Nathaniel Trapp', 'Bad Ending', 'Alternate Universe - Amnesia: The Bunker Fusion', 'Monsters', 'Transformation', 'Body Horror', 'Altered Mental States', 'Dead Dove: Do Not Eat', 'Not Beta Read', 'Angst and Porn', 'Submission', 'Animal Instincts', 'Blood and Violence', 'Sub Sean Finnerty (Candela Obscura)', 'Anal Sex', 'Oral Sex', 'Consensual But Not Safe Or Sane', 'Rough Sex', 'Feral Behavior', 'Praise Kink', 'even as a monster sean has a praise kink', 'bunker au trapperty monster sex', ""bc who doesn't want that"", 'Circle of Needle and Thread (Candela Obscura)']",English,Unknown,2024-01-24 00:00:00,3360,1/1,2,21,0,341
113,20,Explicit,No Archive Warnings Apply,M/M,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Nathaniel Trapp']","['Marion Collodi/Sean Finnerty/Nathaniel Trapp', 'Marion Collodi/Nathaniel Trapp', 'Marion Collodi/Sean Finnerty']","['POV Sean Finnerty', 'Infidelity', 'Cheating', 'Voyeurism', 'Married Marion Collodi/Sean Finnerty', 'Sub Sean Finnerty (Candela Obscura)', 'Alternate Universe - Canon Divergence', 'Cuckolding', 'Unhappy Ending', 'Angst and Porn', 'Masturbation', 'Shame', 'Consensual But Not Safe Or Sane', 'Sloppy Seconds', 'Dead Dove: Do Not Eat', 'Dark Nathaniel Trapp', 'Circle of Needle and Thread (Candela Obscura)']",English,Unknown,2024-01-23 00:00:00,2007,1/1,8,15,0,287
114,21,Mature,Graphic Depictions Of Violence,Multi,Candela Obscura,"['Jinnah ""Jean"" Basar', 'Marion Collodi', 'The Mother (Candela Obscura)', 'Sean Finnerty (Candela Obscura)']","Jinnah ""Jean"" Basar/Marion Collodi/Sean Finnerty","['Alternate Universe', 'Bad Ending', 'Exorcisms', 'Guilt', 'Shame', 'Emotional Manipulation', 'Suicidal Thoughts', 'Mind the Tags', ""Additional Warnings In Author's Note"", 'Not Beta Read']",English,Unknown,2024-01-21 00:00:00,1449,1/1,2,19,0,128
115,22,Not Rated,Creator Chose Not To Use Archive Warnings,No category,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Rajan Savarimuthu']",Elsie Roberts/Rajan Savarimuthu,"['Circle of Tide and Bone (Candela Obscura)', 'Angst', 'Angst with a Bittersweet Ending', ""look Elsie's having a rough time"", 'and Raj is there being Raj', 'aka deeply in love with her', 'Body Horror']",English,Unknown,2024-01-21 00:00:00,2719,1/1,2,35,3,207
116,23,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['Marion Collodi', 'Nathaniel Trapp']","['Marion Collodi & Nathaniel Trapp', 'No Romantic Relationship(s)']","['POV Nathaniel Trapp', 'Pre-Slash', 'Alternate Universe - Amnesia: The Bunker Fusion', 'Alternate Universe - World War I', 'Military Ranks', 'Survival Horror', 'Not Beta Read', 'Dead Dove: Do Not Eat', ""this fic itself isn't too bad but this au Goes Places"", 'especially if you know the plot of atb there are Implications', 'this is a marion/sean/nathaniel au with a focus on nathaniel/marion', 'but this fic basically has none of that', 'Monsters', 'Circle of Needle and Thread (Candela Obscura)']",English,2024-01-21 00:00:00,2024-01-21 00:00:00,2966,1/1,6,14,0,168
117,1,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['Malcolm Trills', 'Leo Amicus', 'Grimoria (Candela Obscura)', 'Edgar Lycoris']",Leo Amicus & Malcolm Trills,"['Team as Family', 'Team Dynamics', 'Affectionate Insults', 'Veterans', 'Pre-Canon', 'Implied/Referenced Alcohol Abuse/Alcoholism', 'Slice of Life', 'Dialogue Heavy', 'Why Did I Write This?']",English,2024-03-07 00:00:00,2024-03-07 00:00:00,2506,1/1,8,61,4,371
118,2,General Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['Grimoria', 'Malcolm Trills', 'Decklan Murphy (Mentioned)', 'Leo Amicus (Mentioned)', 'Edgar Lycoris (Mentioned)']",Grimoria & Malcolm Trills,"['Pre-Canon', 'someone give this girl a hug', 'The plot of this circle I described as three men and a baby', 'Big Brother Malcolm Trills', 'God I love them already', 'this cant be the first crimson mirror fic on here', 'Fluff and Angst']",English,2024-03-02 00:00:00,2024-03-02 00:00:00,1067,1/1,3,36,1,290
119,3,Explicit,"['Graphic Depictions Of Violence, Major Character Death', 'Graphic Depictions Of Violence', 'Major Character Death']",F/M,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Nathaniel Trapp', 'Jinnah ""Jean"" Basar', 'Beatrix Monroe | Auntie Bee', 'Jimmy Finnerty (Candela Obscura)', 'Original Characters', 'Original Female Character(s)', 'Original']","['Sean Finnerty (Candela Obscura) & Original Character(s)', 'Sean Finnerty (Candela Obscura)/Original Female Character(s)', 'Sean Finnerty (Candela Obscura)/Original Character(s)', 'Marion Collodi & Sean Finnerty', 'Marion Collodi & Sean Finnerty & Nathaniel Trapp', 'Jinnah ""Jean"" Basar & Sean Finnerty', 'Sean Finnerty & Beatrix Monroe | Auntie Bee', 'Sean Finnerty & Nathaniel Trapp', 'Jimmy Finnerty & Sean Finnerty (Candela Obscura)']","['Angst', 'Hurt', 'Hurt No Comfort', 'Hurt/Comfort', 'Emotional Hurt/Comfort', 'mentions of war and the horrible things connected to it', 'Horror', 'Body Horror', 'Eldritch', 'Trauma', 'Death', 'Probably no happy end', 'Dead Dove: Do Not Eat', 'Self-Harm', 'Character Death']",English,Unknown,2024-02-27 00:00:00,8013,None,3,10,3,160
120,4,Explicit,"['Graphic Depictions Of Violence, Major Character Death', 'Graphic Depictions Of Violence', 'Major Character Death']",F/M,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Nathaniel Trapp', 'Jinnah ""Jean"" Basar', 'Beatrix Monroe | Auntie Bee', 'Jimmy Finnerty (Candela Obscura)', 'Original Characters', 'Original Female Character(s)', 'Original']","['Sean Finnerty (Candela Obscura) & Original Character(s)', 'Sean Finnerty (Candela Obscura)/Original Female Character(s)', 'Sean Finnerty (Candela Obscura)/Original Character(s)', 'Marion Collodi & Sean Finnerty', 'Marion Collodi & Sean Finnerty & Nathaniel Trapp', 'Jinnah ""Jean"" Basar & Sean Finnerty', 'Sean Finnerty & Beatrix Monroe | Auntie Bee', 'Sean Finnerty & Nathaniel Trapp', 'Jimmy Finnerty & Sean Finnerty (Candela Obscura)']","['Angst', 'Hurt', 'Hurt No Comfort', 'Hurt/Comfort', 'Emotional Hurt/Comfort', 'mentions of war and the horrible things connected to it', 'Horror', 'Body Horror', 'Eldritch', 'Trauma', 'Death', 'Probably no happy end', 'Dead Dove: Do Not Eat', 'Self-Harm', 'Character Death']",English,Unknown,2024-02-27 00:00:00,8013,None,3,10,3,160
121,5,Teen And Up Audiences,No Archive Warnings Apply,F/M,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Oscar Grimm', 'Cosmo Grimm (Candela Obscura)', 'Cordelia Glask', ""Godot | Cosmo Grimm's Dog (Candela Obscura)"", 'Minor Characters', 'Magpie - Character', 'Rajan Savarimuthu']","['Rajan Savarimuthu/Original character', 'Former Rajan/Elsie']","['Murder Mystery', 'Arson', 'Disability', 'Canon Disabled Character', 'Bugs & Insects', 'This is a Rajan fic the bugs are a big part', 'Body Horror', 'Drug Use', 'Implied/Referenced Drug Use', 'Canon-Typical Violence', 'Masturbation', 'Gambling', 'Blood and Gore', 'Minor Character Death', 'Implied/Referenced Character Death', 'Drinking', 'Addiction', 'Smut', 'Semi-Public Sex', 'Complete']",English,2024-02-25 00:00:00,2024-02-25 00:00:00,46890,28/28,28,7,2,316
122,6,Teen And Up Audiences,No Archive Warnings Apply,F/M,Candela Obscura,"['Elsie Roberts (Candela Obscura)', 'Oscar Grimm', 'Cosmo Grimm (Candela Obscura)', 'Cordelia Glask', ""Godot | Cosmo Grimm's Dog (Candela Obscura)"", 'Minor Characters', 'Magpie - Character', 'Rajan Savarimuthu']","['Rajan Savarimuthu/Original character', 'Former Rajan/Elsie']","['Murder Mystery', 'Arson', 'Disability', 'Canon Disabled Character', 'Bugs & Insects', 'This is a Rajan fic the bugs are a big part', 'Body Horror', 'Drug Use', 'Implied/Referenced Drug Use', 'Canon-Typical Violence', 'Masturbation', 'Gambling', 'Blood and Gore', 'Minor Character Death', 'Implied/Referenced Character Death', 'Drinking', 'Addiction', 'Smut', 'Semi-Public Sex', 'Complete']",English,2024-02-25 00:00:00,2024-02-25 00:00:00,46890,28/28,28,7,2,317
